sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP,delta_plus_filler,delta_minus_filler,did_effect,success_delta_plus_filler,success_did
lan_parasitic_gap,93,23.81957175,23.20194535,4.00245298,5.98099526,-19.81711877,-17.22095009,-2.59616868,False,False
lan_parasitic_gap,94,23.81957175,23.33331283,8.50031446,8.46398740,-15.31925729,-14.86932543,-0.44993186,False,False
lan_parasitic_gap,95,23.81957175,23.33331283,18.78225053,17.82150941,-5.03732122,-5.51180342,0.47448220,False,True
lan_parasitic_gap,96,23.81957175,23.33331283,4.00245298,6.77403462,-19.81711877,-16.55927821,-3.25784056,False,False
lan_parasitic_gap,97,21.94384314,22.08570478,2.59534779,4.70368933,-19.34849535,-17.38201545,-1.96647990,False,False
lan_parasitic_gap,98,21.94384314,22.08570478,19.67434967,18.77517555,-2.26949347,-3.31052923,1.04103576,False,True
lan_parasitic_gap,99,21.94384314,22.08570478,8.23013951,7.68590734,-13.71370363,-14.39979744,0.68609381,False,True
lan_parasitic_gap,100,21.94384314,21.57894661,2.59534779,4.11010256,-19.34849535,-17.46884405,-1.87965130,False,False
lan_parasitic_gap,101,21.94384314,21.57894661,19.67434967,20.88008637,-2.26949347,-0.69886024,-1.57063323,False,False
lan_parasitic_gap,102,21.94384314,21.57894661,8.23013951,7.65134469,-13.71370363,-13.92760192,0.21389829,False,True
lan_parasitic_gap,103,25.32592571,24.58642187,2.59534779,4.70368933,-22.73057792,-19.88273254,-2.84784538,False,False
lan_parasitic_gap,104,25.32592571,24.58642187,8.23013951,7.68590734,-17.09578620,-16.90051453,-0.19527167,False,False
lan_parasitic_gap,105,25.32592571,24.58642187,19.67434967,18.77517555,-5.65157604,-5.81124632,0.15967028,False,True
lan_parasitic_gap,106,25.32592571,24.60639021,2.59534779,4.11010256,-22.73057792,-20.49628765,-2.23429027,False,False
lan_parasitic_gap,107,25.32592571,24.60639021,8.23013951,7.65134469,-17.09578620,-16.95504552,-0.14074068,False,False
lan_parasitic_gap,108,25.32592571,24.60639021,19.67434967,20.88008637,-5.65157604,-3.72630384,-1.92527220,False,False
lan_parasitic_gap,109,20.79897950,21.34428649,8.11709714,7.38511408,-12.68188236,-13.95917241,1.27729005,False,True
lan_parasitic_gap,110,20.79897950,21.34428649,4.09999071,5.66545044,-16.69898879,-15.67883605,-1.02015274,False,False
lan_parasitic_gap,111,20.79897950,21.34428649,18.51422520,17.35652591,-2.28475430,-3.98776058,1.70300628,False,True
lan_parasitic_gap,112,20.79897950,21.54368281,8.11709714,7.75346874,-12.68188236,-13.79021407,1.10833171,False,True
lan_parasitic_gap,113,20.79897950,21.54368281,4.09999071,4.75938890,-16.69898879,-16.78429391,0.08530512,False,True
