sentence_type,item_id,fillertype_effect_plus_gap,fillertype_effect_minus_gap
lan_parasitic_gap,122,-0.68421399,-2.43951075
lan_parasitic_gap,1220,-0.39521043,-2.74813785
lan_parasitic_gap,1221,-0.39521043,-1.72433220
lan_parasitic_gap,1222,-0.35242876,0.59535841
lan_parasitic_gap,1223,-0.35242876,-3.07403256
lan_parasitic_gap,1224,-0.35242876,1.22597050
lan_parasitic_gap,1225,-1.43547580,-0.01163390
lan_parasitic_gap,1226,-1.43547580,-1.08190154
lan_parasitic_gap,1227,-1.43547580,-0.97528637
lan_parasitic_gap,1228,-1.62345030,0.20481075
lan_parasitic_gap,1229,-1.62345030,1.09754756
lan_parasitic_gap,123,-0.68421399,1.88397650
lan_parasitic_gap,1230,-1.62345030,-1.49371739
lan_parasitic_gap,1231,-1.42625121,-0.01163390
lan_parasitic_gap,1232,-1.42625121,-1.08190154
lan_parasitic_gap,1233,-1.42625121,-0.97528637
lan_parasitic_gap,1234,-1.25267912,0.20481075
lan_parasitic_gap,1235,-1.25267912,1.09754756
lan_parasitic_gap,1236,-1.25267912,-1.49371739
lan_parasitic_gap,1237,-1.43824288,0.86964936
lan_parasitic_gap,1238,-1.43824288,-0.00814112
lan_parasitic_gap,1239,-1.43824288,-2.76764886
lan_parasitic_gap,124,-0.48721687,-0.26353855
lan_parasitic_gap,1240,-1.16464875,-1.48317706
lan_parasitic_gap,1241,-1.16464875,-0.10584476
lan_parasitic_gap,1242,-1.16464875,-2.18984949
lan_parasitic_gap,1243,-0.11627834,-0.10584476
lan_parasitic_gap,1244,-0.11627834,-2.18984949
lan_parasitic_gap,1245,-0.11627834,-1.48317706
lan_parasitic_gap,1246,-0.02711834,-0.00814112
lan_parasitic_gap,1247,-0.02711834,-2.76764886
lan_parasitic_gap,1248,-0.02711834,0.86964936
lan_parasitic_gap,1249,-0.80459391,-1.93198074
lan_parasitic_gap,125,-0.48721687,-1.55167334
lan_parasitic_gap,1250,-0.80459391,-2.09778246
lan_parasitic_gap,1251,-0.80459391,0.50812152
lan_parasitic_gap,1252,-1.34075854,0.78931288
lan_parasitic_gap,1253,-1.34075854,-2.39181381
lan_parasitic_gap,1254,-1.34075854,0.53650943
lan_parasitic_gap,1255,0.09139473,-2.09778246
lan_parasitic_gap,1256,0.09139473,-1.93198074
lan_parasitic_gap,1257,0.09139473,0.50812152
lan_parasitic_gap,1258,0.12357693,-2.39181381
lan_parasitic_gap,1259,0.12357693,0.78931288
lan_parasitic_gap,126,-0.48721687,-0.20773654
lan_parasitic_gap,1260,0.12357693,0.53650943
lan_parasitic_gap,1261,-2.90985819,-1.38980007
lan_parasitic_gap,1262,-2.90985819,-1.69124398
lan_parasitic_gap,1263,-2.90985819,-0.26203093
lan_parasitic_gap,1264,-2.83167278,-1.93598422
lan_parasitic_gap,1265,-2.83167278,0.91608394
lan_parasitic_gap,1266,-2.83167278,0.11557862
lan_parasitic_gap,1267,-2.03549555,-0.26203093
lan_parasitic_gap,1268,-2.03549555,-1.38980007
lan_parasitic_gap,1269,-2.03549555,-1.69124398
lan_parasitic_gap,127,-0.15971066,-2.43951075
lan_parasitic_gap,1270,-1.53763015,0.11557862
lan_parasitic_gap,1271,-1.53763015,-1.93598422
lan_parasitic_gap,1272,-1.53763015,0.91608394
lan_parasitic_gap,1273,-2.22567593,-0.20139446
lan_parasitic_gap,1274,-2.22567593,-2.75742015
lan_parasitic_gap,1275,-2.22567593,1.25647918
lan_parasitic_gap,1276,-2.23684239,-0.33405604
lan_parasitic_gap,1277,-2.23684239,-2.09605556
lan_parasitic_gap,1278,-2.23684239,-1.49871200
lan_parasitic_gap,1279,-0.65508886,-0.20139446
lan_parasitic_gap,128,-0.15971066,-0.19415357
lan_parasitic_gap,1280,-0.65508886,1.25647918
lan_parasitic_gap,1281,-0.65508886,-2.75742015
lan_parasitic_gap,1282,-1.02924749,-0.33405604
lan_parasitic_gap,1283,-1.02924749,-1.49871200
lan_parasitic_gap,1284,-1.02924749,-2.09605556
lan_parasitic_gap,1285,-1.47888648,-1.83320807
lan_parasitic_gap,1286,-1.47888648,-0.03571680
lan_parasitic_gap,1287,-1.47888648,-2.07533846
lan_parasitic_gap,1288,-1.92323656,-2.23631870
lan_parasitic_gap,1289,-1.92323656,0.07370152
lan_parasitic_gap,129,-0.15971066,1.88397650
lan_parasitic_gap,1290,-1.92323656,1.00980285
lan_parasitic_gap,1291,-0.54338820,-0.03571680
lan_parasitic_gap,1292,-0.54338820,-1.83320807
lan_parasitic_gap,1293,-0.54338820,-2.07533846
lan_parasitic_gap,1294,-0.48387847,0.07370152
lan_parasitic_gap,1295,-0.48387847,-2.23631870
lan_parasitic_gap,1296,-0.48387847,1.00980285
lan_parasitic_gap,1297,-1.05674093,1.87642399
lan_parasitic_gap,1298,-1.05674093,-1.75403007
lan_parasitic_gap,1299,-1.05674093,-0.17416936
lan_parasitic_gap,13,-0.12134219,0.83394266
lan_parasitic_gap,130,-0.25218309,-1.55167334
lan_parasitic_gap,1300,-0.82080403,-0.08041871
lan_parasitic_gap,1301,-0.82080403,-1.40337727
