sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP
lan_parasitic_gap,2518,20.60262871,22.14889338,3.94645189,6.68770375
lan_parasitic_gap,2519,20.60262871,22.14889338,10.32485192,9.52740224
lan_parasitic_gap,2520,20.60262871,22.14889338,21.52034145,19.54354483
lan_parasitic_gap,2521,21.86108149,24.22648100,9.30688774,9.00245312
lan_parasitic_gap,2522,21.86108149,24.22648100,3.37826087,5.64795344
lan_parasitic_gap,2523,21.86108149,24.22648100,20.65167601,20.70556355
lan_parasitic_gap,2524,21.86108149,24.40803407,9.30688774,8.54373958
lan_parasitic_gap,2525,21.86108149,24.40803407,3.37826087,5.92969014
lan_parasitic_gap,2526,21.86108149,24.40803407,20.65167601,18.81001952
lan_parasitic_gap,2527,22.11178871,23.03826149,9.30688774,8.54373958
lan_parasitic_gap,2528,22.11178871,23.03826149,20.65167601,18.81001952
lan_parasitic_gap,2529,22.11178871,23.03826149,3.37826087,5.92969014
lan_parasitic_gap,2530,22.11178871,23.19254474,9.30688774,9.00245312
lan_parasitic_gap,2531,22.11178871,23.19254474,20.65167601,20.70556355
lan_parasitic_gap,2532,22.11178871,23.19254474,3.37826087,5.64795344
lan_parasitic_gap,2533,20.12539096,22.98092302,9.79456195,9.18159545
lan_parasitic_gap,2534,20.12539096,22.98092302,20.47864782,18.28143915
lan_parasitic_gap,2535,20.12539096,22.98092302,5.26768932,8.06869184
lan_parasitic_gap,2536,20.12539096,22.71562727,9.79456195,9.61917784
lan_parasitic_gap,2537,20.12539096,22.71562727,20.47864782,20.28403403
lan_parasitic_gap,2538,20.12539096,22.71562727,5.26768932,7.74186082
lan_parasitic_gap,2539,20.44230056,21.98403950,5.26768932,7.74186082
lan_parasitic_gap,2540,20.44230056,21.98403950,20.47864782,20.28403403
lan_parasitic_gap,2541,20.44230056,21.98403950,9.79456195,9.61917784
lan_parasitic_gap,2542,20.44230056,21.85890446,5.26768932,8.06869184
lan_parasitic_gap,2543,20.44230056,21.85890446,20.47864782,18.28143915
lan_parasitic_gap,2544,20.44230056,21.85890446,9.79456195,9.18159545
lan_parasitic_gap,2545,19.84055246,21.92944504,21.31879984,21.95072335
lan_parasitic_gap,2546,19.84055246,21.92944504,2.95834717,5.12180977
lan_parasitic_gap,2547,19.84055246,21.92944504,9.60944686,8.85322652
lan_parasitic_gap,2548,19.84055246,22.24073823,21.31879984,19.61811341
lan_parasitic_gap,2549,19.84055246,22.24073823,2.95834717,5.24394544
